weighted portfolio variance,weighted portfolio returns
0.028251,0.145163
0.051982,0.232436
0.045249,0.224141
0.024398,0.218920
0.022813,0.155169
0.037684,0.222034
0.024328,0.191198
0.050325,0.231030
0.040686,0.230949
0.019681,0.209053
0.031877,0.159853
0.035637,0.142789
0.033507,0.218182
0.029570,0.176648
0.035664,0.152628
0.031259,0.153748
0.033495,0.215274
0.025577,0.146840
0.043930,0.225077
0.018988,0.169520
0.021591,0.173488
0.024960,0.203167
0.037062,0.234858
0.028256,0.191128
0.026389,0.205587
0.023085,0.188714
0.029432,0.250142
0.043827,0.226685
0.025232,0.179426
0.030043,0.171749
0.024990,0.186208
0.047878,0.228173
0.017938,0.175954
0.044811,0.224367
0.019876,0.196515
0.023159,0.186502
0.049602,0.229541
0.026347,0.209218
0.034317,0.215022
0.021943,0.156330
0.020626,0.189540
0.041534,0.225709
0.045669,0.223904
0.024695,0.199439
0.045111,0.230820
0.041618,0.224260
0.032953,0.161474
0.021560,0.172616
0.026666,0.192478
0.040691,0.130472
0.020209,0.198905
0.031996,0.153039
0.032285,0.237017
0.031625,0.169836
0.019132,0.173362
0.030502,0.180785
0.020886,0.159803
0.034252,0.205311
0.029906,0.171443
0.030128,0.167025
0.035754,0.213099
0.018495,0.205105
0.047826,0.227154
0.040503,0.224764
0.018186,0.178288
0.047684,0.127676
0.027606,0.236044
0.031585,0.189039
0.031841,0.204370
0.022913,0.195604
0.049436,0.230052
0.031780,0.166741
0.028723,0.171157
0.033097,0.166096
0.043252,0.222734
0.032247,0.210969
0.020285,0.187604
0.035974,0.142131
0.020788,0.210311
0.031401,0.158984
0.023635,0.225110
0.028611,0.192987
0.020351,0.176977
0.023666,0.228482
0.021026,0.216695
0.037554,0.139199
0.019026,0.189196
0.025612,0.171241
0.019782,0.183797
0.027595,0.242262
0.023635,0.188567
0.020852,0.214709
0.020265,0.166841
0.026578,0.197703
0.039923,0.140211
0.044170,0.228435
0.046594,0.228008
0.050965,0.231515
0.024833,0.217339
0.025387,0.157737
0.024918,0.180843
0.044198,0.225183
0.023295,0.173396
0.030161,0.234647
0.042431,0.227625
0.029855,0.222445
0.030757,0.200868
0.030483,0.196998
0.019927,0.172418
0.031640,0.186230
0.028798,0.222770
0.023220,0.168078
0.024744,0.185574
0.019740,0.158520
0.034985,0.216952
0.030454,0.225119
0.040065,0.215020
0.037624,0.229783
0.029878,0.187582
0.027363,0.148257
0.031254,0.219917
0.024073,0.151349
0.027144,0.216137
0.022693,0.183736
0.048409,0.228615
0.020482,0.194449
0.020621,0.186305
0.030967,0.213021
0.044531,0.225525
0.023169,0.227137
0.019235,0.189936
0.025248,0.182263
0.027028,0.154867
0.035345,0.203457
0.035284,0.205214
0.029008,0.193290
0.021571,0.212509
0.051811,0.232347
0.020433,0.159534
0.042422,0.222058
0.029770,0.211098
0.034165,0.214816
0.041340,0.222444
0.039304,0.221515
0.035388,0.214138
0.032543,0.191957
0.047554,0.228389
0.022147,0.212162
0.032030,0.153197
0.024198,0.202151
0.029322,0.203655
0.044888,0.133932
0.021931,0.187230
0.021357,0.208782
0.033091,0.199418
0.019169,0.201285
0.028886,0.195333
0.025913,0.207760
0.026446,0.204179
0.027918,0.179089
0.033626,0.230139
0.021844,0.160090
0.027732,0.182268
0.031907,0.213492
0.039278,0.212961
0.029871,0.203270
0.029930,0.226706
0.030010,0.202460
0.030987,0.214527
0.046805,0.229069
0.033498,0.215179
0.029740,0.190082
0.045245,0.229260
0.020392,0.208125
0.045690,0.224651
0.037621,0.230781
0.022765,0.165715
0.033447,0.208319
0.031311,0.199370
0.021692,0.189699
0.020443,0.176745
0.021615,0.179789
0.044451,0.223603
0.030285,0.202580
0.020518,0.194186
0.021569,0.212848
0.020723,0.196903
0.023734,0.198252
0.031219,0.214536
0.037068,0.222764
0.027214,0.186936
0.042731,0.224946
0.027365,0.170859
0.030587,0.234079
0.021942,0.208026
0.023137,0.170289
0.019278,0.189533
0.021290,0.165934
0.030233,0.218516
0.045214,0.225316
0.047594,0.228249
0.024213,0.167727
0.018536,0.192844
0.044407,0.224362
0.036655,0.205983
0.021299,0.191006
0.028755,0.208928
0.022619,0.181852
0.048089,0.229146
0.049917,0.230023
0.019837,0.167890
0.034482,0.200389
0.029561,0.217787
0.035324,0.137895
0.051114,0.231621
0.024678,0.195479
0.049424,0.230037
0.030771,0.168290
0.041038,0.134340
0.028569,0.196418
0.018249,0.188392
0.039624,0.228757
0.035521,0.216654
0.032573,0.195460
0.033172,0.155363
0.028236,0.160252
0.028035,0.198152
0.026025,0.195477
0.023700,0.161285
0.051670,0.232146
0.028276,0.219562
0.023261,0.208540
0.028930,0.217010
0.026810,0.196675
0.041315,0.220532
0.047049,0.229538
0.050074,0.230960
0.021383,0.182345
0.039541,0.218561
0.034687,0.205873
0.024010,0.188324
0.037519,0.220341
0.025811,0.228049
0.037667,0.219071
0.033809,0.212448
0.034165,0.208801
0.030537,0.217762
0.022793,0.211164
0.032940,0.218078
0.040169,0.223210
0.038666,0.222739
0.030379,0.192377
0.039141,0.222538
0.028130,0.214630
0.017947,0.187950
0.034463,0.202939
0.045144,0.228602
0.029134,0.202229
0.021408,0.181784
0.020882,0.166417
0.020626,0.175074
0.022023,0.186003
0.033428,0.207213
0.046635,0.226213
0.038728,0.258318
0.035803,0.225606
0.021460,0.181605
0.031146,0.219531
0.026134,0.218216
