weighted portfolio variance,weighted portfolio returns
0.033870,0.358000
0.033918,0.358250
0.033967,0.358500
0.034015,0.358750
0.034064,0.359000
0.034112,0.359250
0.034161,0.359500
0.034210,0.359750
0.034259,0.360000
0.034307,0.360250
0.034356,0.360500
0.034405,0.360750
0.034454,0.361000
0.034503,0.361250
0.034552,0.361500
0.034601,0.361750
0.034651,0.362000
0.034700,0.362250
0.034749,0.362500
0.034798,0.362750
0.034848,0.363000
0.034897,0.363250
0.034947,0.363500
0.034996,0.363750
0.035046,0.364000
0.035095,0.364250
0.035145,0.364500
0.035195,0.364750
0.035244,0.365000
0.035294,0.365250
0.035344,0.365500
0.035394,0.365750
0.035444,0.366000
0.035494,0.366250
0.035544,0.366500
0.035594,0.366750
0.035644,0.367000
0.035694,0.367250
0.035744,0.367500
0.035795,0.367750
0.035845,0.368000
0.035895,0.368250
0.035946,0.368500
0.035996,0.368750
0.036047,0.369000
0.036097,0.369250
0.036148,0.369500
0.036199,0.369750
0.036249,0.370000
0.036300,0.370250
0.036351,0.370500
0.036402,0.370750
0.036453,0.371000
0.036504,0.371250
0.036555,0.371500
0.036606,0.371750
0.036657,0.372000
0.036708,0.372250
0.036759,0.372500
0.036811,0.372750
0.036862,0.373000
0.036913,0.373250
0.036965,0.373500
0.037016,0.373750
0.037068,0.374000
0.037119,0.374250
0.037171,0.374500
0.037222,0.374750
